actorId,filmTitle,filmYear,genres,averageRating,numVotes
nm0001076,Untamed,1929,Drama,5.4,633
nm0599910,Untamed,1929,Drama,5.4,633
nm0237597,The Vagabond Lover,1929,"Comedy,Musical",5.3,249
nm0612847,The Valiant,1929,Drama,6.0,441
nm0000011,The Virginian,1929,"Romance,Western",6.8,774
nm0404158,The Virginian,1929,"Romance,Western",6.8,774
nm0682074,The Voice Within,1929,Drama,,
nm0228715,The Wheel of Life,1929,"Drama,Romance",6.5,19
nm0001256,Wild Orchids,1929,"Drama,Romance",6.6,694
nm0832011,Wild Orchids,1929,"Drama,Romance",6.6,694
nm0545298,The Wild Party,1929,"Drama,Romance",6.2,487
nm0000011,Wolf Song,1929,"Drama,Western",6.6,113
nm0051628,The Wolf of Wall Street,1929,Drama,6.7,48
nm0510134,The Wolf of Wall Street,1929,Drama,6.7,48
nm0606431,Woman Trap,1929,"Action,Crime,Drama",5.8,70
nm0000802,The Woman from Hell,1929,Drama,,
nm0173993,Woman to Woman,1929,"Drama,Romance",6.5,106
nm0832011,Wonder of Women,1929,Drama,5.9,73
nm0939931,Wonder of Women,1929,Drama,5.9,73
nm0001932,Young Nowheres,1929,"Adventure,Crime,Drama",,
nm0060168,"1914, die letzten Tage vor dem Weltbrand",1931,Drama,6.7,32
nm0404158,Abraham Lincoln,1930,"Biography,Drama,War",5.7,1541
nm0580916,Abraham Lincoln,1930,"Biography,Drama,War",5.7,1541
nm0000817,All Quiet on the Western Front,1930,"Drama,War",8.1,61134
nm0260020,Along Came Youth,1930,"Comedy,Romance",5.9,22
nm0060168,Alraune,1930,Sci-Fi,6.1,95
nm0001256,Anna Christie,1930,"Drama,Romance",6.6,3183
nm0001948,Anna Christie,1930,"Drama,Romance",6.6,3183
nm0237597,Anna Christie,1930,"Drama,Romance",6.6,3183
nm0001256,Anna Christie,1930,Drama,7.0,896
nm0154183,Anybody's Woman,1930,Drama,6.5,127
nm0510134,Anybody's Woman,1930,Drama,6.5,127
nm0062828,The Arizona Kid,1930,"Mystery,Romance,Western",5.9,84
nm0001479,The Arizona Kid,1930,"Mystery,Romance,Western",5.9,84
nm0341464,Back Pay,1930,"Drama,Romance",5.0,158
nm0404158,The Bad Man,1930,Western,6.4,32
nm0606431,The Bat Whispers,1930,"Crime,Drama,Horror",6.4,1013
nm0580916,The Bat Whispers,1930,"Crime,Drama,Horror",6.4,1013
nm0510134,The Benson Murder Case,1930,"Crime,Mystery,Thriller",6.1,384
nm0606431,The Big House,1930,"Crime,Drama,Thriller",7.1,2270
nm0000891,The Big House,1930,"Crime,Drama,Thriller",7.1,2270
nm0832011,The Big House,1930,"Crime,Drama,Thriller",7.1,2270
nm0599910,The Big House,1930,"Crime,Drama,Thriller",7.1,2270
nm0002001,The Big Pond,1930,"Comedy,Music,Romance",5.7,278
nm0001055,The Big Pond,1930,"Comedy,Music,Romance",5.7,278
nm0000078,The Big Trail,1930,"Adventure,Romance,Western",7.1,3833
nm0000891,Billy the Kid,1930,Western,6.0,421
nm0001651,The Bishop Murder Case,1929,"Drama,Mystery",6.1,686
nm0417837,The Blue Angel,1930,"Drama,Music",7.7,15071
nm0000017,The Blue Angel,1930,"Drama,Music",7.7,15071
nm0173993,The Boudoir Diplomat,1930,"Comedy,Romance",7.3,15
nm0682074,Bride of the Regiment,1930,"Musical,Romance",5.8,33
nm0949835,Too Young to Marry,1931,Comedy,6.0,67
nm0606431,The Case of Sergeant Grischa,1930,"Drama,History,Romance",7.2,48
nm0173993,The Case of Sergeant Grischa,1930,"Drama,History,Romance",7.2,48
nm0045968,Caste,1930,Drama,5.6,53
nm0237597,Caught Short,1930,Comedy,6.5,13
nm0771584,Cock o' the Walk,1930,"Drama,Music,Romance",6.6,29
nm0580916,Command Performance,1931,"Drama,Romance",5.2,69
nm0000817,Common Clay,1930,Drama,6.6,58
nm0522281,Conspiracy,1930,Mystery,5.2,153
nm0173993,Czar of Broadway,1930,"Crime,Drama",6.8,22
nm0000795,Danger Lights,1930,"Adventure,Drama",6.1,537
nm0260020,Dangerous Nan McGrew,1930,"Comedy,Romance,Western",5.0,71
nm0001932,The Dawn Patrol,1930,"Action,Drama,War",7.2,1853
nm0051628,Derelict,1930,Adventure,6.2,61
nm0172903,The Devil to Pay!,1930,"Comedy,Romance",6.6,715
nm0949835,The Devil to Pay!,1930,"Comedy,Romance",6.6,715
nm0572142,A Devil with Women,1930,Adventure,6.9,85
nm0000007,A Devil with Women,1930,Adventure,6.9,85
nm0790454,The Divorcee,1930,"Drama,Romance",6.7,3190
nm0599910,The Divorcee,1930,"Drama,Romance",6.7,3190
nm0606431,The Divorcee,1930,"Drama,Romance",6.7,3190
nm0000817,The Doorway to Hell,1930,"Crime,Drama",6.5,1128
nm0000010,The Doorway to Hell,1930,"Crime,Drama",6.5,1128
nm0060168,The Dreyfus Case,1930,"Biography,Drama,History",6.4,57
nm0000817,East Is West,1930,"Adventure,Crime,Drama",6.3,55
nm0394244,Fast and Loose,1930,"Comedy,Romance",6.2,245
nm0001479,Fast and Loose,1930,"Comedy,Romance",6.2,245
nm0000012,The Menace,1932,"Crime,Drama,Mystery",6.6,590
nm0001651,The Flirting Widow,1930,"Comedy,Romance",6.1,245
nm0943956,Follow the Leader,1930,"Comedy,Musical,Romance",5.7,122
nm0001677,Follow the Leader,1930,"Comedy,Musical,Romance",5.7,122
nm0599910,Free and Easy,1930,"Comedy,Musical",5.5,910
nm0237597,The Girl Said No,1930,"Comedy,Romance",5.2,853
nm0362267,The Girl of the Golden West,1930,"Action,Adventure,Romance",6.0,29
nm0682074,Going Wild,1930,Comedy,5.8,201
nm0522281,Good News,1930,"Comedy,Musical",6.3,356
nm0002001,La grande mare,1930,"Comedy,Romance",5.8,27
nm0001055,La grande mare,1930,"Comedy,Romance",5.8,27
nm0002183,The Green Goddess,1930,Adventure,5.4,403
nm0510134,Grumpy,1930,"Comedy,Romance",5.1,124
nm0260020,Happy Days,1929,Musical,5.7,170
nm0708081,Her Man,1930,"Crime,Drama,Romance",6.5,426
nm0310980,High Society Blues,1930,"Music,Romance",7.1,28
nm0642988,Hit the Deck,1929,"Comedy,Musical,Romance",7.3,22
nm0393028,Hocuspocus,1930,"Comedy,Crime",7.7,47
nm0362267,Holiday,1930,"Comedy,Drama",6.4,535
nm0000802,Holiday,1930,"Comedy,Drama",6.4,535
nm0173993,Inside the Lines,1930,"Drama,War",5.4,144
nm0173993,Isle of Escape,1930,Drama,6.6,31
nm0021329,Juno and the Paycock,1929,"Comedy,Drama",4.6,2341
nm0280178,Juno and the Paycock,1929,"Comedy,Drama",4.6,2341
nm0949835,Kismet,1930,"Adventure,Fantasy,Musical",6.0,74
nm0051628,Ladies Love Brutes,1930,"Comedy,Drama",6.1,112
nm0000802,Ladies Love Brutes,1930,"Comedy,Drama",6.1,112
nm0545298,Ladies Love Brutes,1930,"Comedy,Drama",6.1,112
nm0001766,Ladies of Leisure,1930,"Drama,Romance",6.7,1238
nm0001651,A Lady Surrenders,1930,"Drama,Romance",6.8,31
