tconst,averageRating,numVotes
tt0022525,5.8,96
tt0022531,6.7,89
tt0022536,6.6,107
tt0022539,6.2,28
tt0022543,6.2,78
tt0022545,5.3,37
tt0022551,5.7,836
tt0022559,5.8,61
tt0022574,5.2,13
tt0022576,4.8,142
tt0022578,6.4,212
tt0022582,6.3,219
tt0022589,5.2,23
tt0022609,5.2,41
tt0022612,7.2,110
tt0022613,6.7,305
tt0022615,6.6,462
tt0022619,6.1,304
tt0022620,5.9,68
tt0022622,6.8,12
tt0022626,7.4,2055
tt0022628,6.4,1135
tt0022639,6.9,1194
tt0022641,6.3,706
tt0022649,7.1,40
tt0022651,7.0,771
tt0022658,6.2,18
tt0022660,6.7,1321
tt0022675,6.8,240
tt0022676,6.1,781
tt0022681,5.7,614
tt0022685,6.5,1704
tt0022693,4.9,10
tt0022696,7.0,667
tt0022698,7.1,5063
tt0022700,6.4,1250
tt0022701,6.8,9
tt0022705,5.8,75
tt0022725,7.6,1094
tt0022726,5.5,28
tt0022731,5.6,270
tt0022735,6.7,1702
tt0022748,5.4,330
tt0022751,6.2,422
tt0022769,6.8,68
tt0022775,6.9,1043
tt0022778,6.3,285
tt0022784,5.9,333
tt0022788,5.4,318
tt0022789,6.0,168
tt0022792,6.2,1296
tt0022796,6.4,725
tt0022797,6.8,20
tt0022798,6.0,15
tt0022799,6.0,148
tt0022802,6.8,1298
tt0022812,6.6,40
tt0022814,6.4,642
tt0022815,6.1,153
tt0022816,6.7,12
tt0022822,6.8,36
tt0022824,5.8,148
tt0022827,6.4,3521
tt0022834,7.0,1784
tt0022835,7.6,13838
tt0022854,7.0,998
tt0022869,6.1,267
tt0022873,6.7,569
tt0022876,6.5,308
tt0022879,6.4,6062
tt0022881,6.5,19
tt0022892,6.3,20
tt0022897,6.5,651
tt0022905,6.9,1498
tt0022918,5.8,243
tt0022928,6.0,23
tt0022958,7.3,19278
tt0022961,6.1,442
tt0022967,6.7,100
tt0022968,5.5,23
tt0022971,6.2,594
tt0022974,6.9,16
tt0022978,6.3,73
tt0022979,6.2,828
tt0022981,5.4,702
tt0022987,6.4,629
tt0022990,6.8,661
tt0022991,5.8,1328
tt0023007,6.6,590
tt0023013,6.0,262
tt0023028,6.6,1171
tt0023034,5.7,235
tt0023038,5.4,598
tt0023042,8.2,13211
tt0023049,7.0,1795
tt0023055,6.4,254
tt0023074,7.2,2184
tt0023101,6.6,910
tt0023108,6.3,376
tt0023109,6.0,190
tt0023119,6.1,154
tt0023121,6.9,310
tt0023125,6.5,947
tt0023132,6.7,560
tt0023139,6.6,395
tt0023141,7.8,22
tt0023142,6.7,71
tt0023151,6.4,734
tt0023153,5.8,479
tt0023154,6.1,84
tt0023157,6.3,444
tt0023158,7.6,4078
tt0023160,5.5,51
tt0023162,6.0,210
tt0023169,6.1,380
tt0023171,7.0,27
tt0023175,6.5,525
tt0023180,6.5,736
tt0023181,6.8,1212
tt0023185,6.0,130
tt0023194,6.3,3365
tt0023196,6.6,3718
tt0023202,6.6,1014
tt0023206,5.8,70
tt0023209,5.9,217
tt0023213,6.9,1588
tt0023225,6.9,1287
tt0023228,6.6,167
tt0023229,5.6,112
tt0023230,6.1,541
tt0023236,4.1,954
tt0023240,7.2,518
tt0023247,4.5,145
tt0023255,6.3,37
tt0023262,5.3,256
tt0023267,6.6,75
tt0023268,7.0,390
tt0023269,7.1,30
tt0023270,5.5,75
tt0023271,7.0,417
tt0023277,6.6,1405
tt0023278,6.6,359
tt0023279,5.8,74
tt0023291,6.9,80
tt0023293,7.0,10993
tt0023302,6.8,192
