actorName,movieTitle,createdYear,awardStatus
Vincent Gardenia,Bang The Drum Slowly,1973,Nominee
Vincent Gardenia,Moonstruck,1987,Nominee
Viola Davis,Doubt,2008,Nominee
Viola Davis,Fences,2016,Winner
Viola Davis,Ma Rainey'S Black Bottom,2020,Nominee
Viola Davis,The Help,2011,Nominee
Vivien Leigh,A Streetcar Named Desire,1951,Winner
Vivien Leigh,Gone With The Wind,1939,Winner
Walter Brennan,Come And Get It,1936,Winner
Walter Brennan,Kentucky,1938,Winner
Walter Brennan,Sergeant York,1941,Nominee
Walter Brennan,The Westerner,1940,Winner
Walter Huston,Dodsworth,1936,Nominee
Walter Huston,The Devil And Daniel Webster,1941,Nominee
Walter Huston,The Treasure Of The Sierra Madre,1948,Winner
Walter Huston,Yankee Doodle Dandy,1942,Nominee
Walter Matthau,Kotch,1971,Nominee
Walter Matthau,The Fortune Cookie,1966,Winner
Walter Matthau,The Sunshine Boys,1975,Nominee
Walter Pidgeon,Madame Curie,1943,Nominee
Walter Pidgeon,Mrs. Miniver,1942,Nominee
Warren Beatty,Bonnie And Clyde,1967,Nominee
Warren Beatty,Bugsy,1991,Nominee
Warren Beatty,Heaven Can Wait,1978,Nominee
Warren Beatty,Reds,1981,Nominee
Wendy Hiller,A Man For All Seasons,1966,Nominee
Wendy Hiller,Pygmalion,1938,Nominee
Wendy Hiller,Separate Tables,1958,Winner
Whoopi Goldberg,Ghost,1990,Nominee
Whoopi Goldberg,The Color Purple,1985,Nominee
Will Smith,Ali,2001,Nominee
Will Smith,King Richard,2021,Winner
Will Smith,The Pursuit Of Happyness,2006,Nominee
Willem Dafoe,At Eternity'S Gate,2018,Nominee
Willem Dafoe,Platoon,1986,Nominee
Willem Dafoe,Shadow Of The Vampire,2000,Nominee
Willem Dafoe,The Florida Project,2017,Nominee
William Holden,Network,1976,Nominee
William Holden,Stalag 17,1953,Winner
William Holden,Sunset Boulevard,1950,Nominee
William Hurt,A History Of Violence,2005,Nominee
William Hurt,Broadcast News,1987,Nominee
William Hurt,Children Of A Lesser God,1986,Nominee
William Hurt,Kiss Of The Spider Woman,1985,Winner
William Powell,Life With Father,1947,Nominee
William Powell,My Man Godfrey,1936,Nominee
William Powell,The Thin Man,1934,Nominee
Winona Ryder,Little Women,1994,Nominee
Winona Ryder,The Age Of Innocence,1993,Nominee
Woody Harrelson,The Messenger,2009,Nominee
Woody Harrelson,The People Vs Larry Flynt,1996,Nominee
Woody Harrelson,"Three Billboards Outside Ebbing, Missouri",2017,Nominee
