actorName,movieTitle,createdYear,awardStatus
Greta Garbo,Anna Christie / Romance,1930,Nominee
Greta Garbo,Camille,1936,Nominee
Greta Garbo,Ninotchka,1939,Nominee
Heath Ledger,Brokeback Mountain,2005,Nominee
Heath Ledger,The Dark Knight,2008,Nominee
Helen Hayes,Airport,1970,Winner
Helen Hayes,The Sin Of Madelon Claudet,1932,Winner
Helen Hunt,As Good As It Gets,1997,Nominee
Helen Hunt,The Sessions,2012,Nominee
Helen Mirren,Gosford Park,2001,Nominee
Helen Mirren,The Last Station,2009,Nominee
Helen Mirren,The Madness Of King George,1994,Nominee
Helen Mirren,The Queen,2006,Winner
Helena Bonham Carter,The King'S Speech,2010,Nominee
Helena Bonham Carter,The Wings Of The Dove,1997,Nominee
Henry Fonda,On Golden Pond,1981,Nominee
Henry Fonda,The Grapes Of Wrath,1940,Nominee
Hilary Swank,Boys Don'T Cry,1999,Winner
Hilary Swank,Million Dollar Baby,2004,Winner
Holly Hunter,Broadcast News,1987,Nominee
Holly Hunter,The Firm,1993,Nominee
Holly Hunter,The Piano,1993,Winner
Holly Hunter,Thirteen,2003,Nominee
Hugh Griffith,Ben-Hur,1959,Nominee
Hugh Griffith,Tom Jones,1963,Nominee
Humphrey Bogart,Casablanca,1943,Nominee
Humphrey Bogart,The African Queen,1951,Winner
Humphrey Bogart,The Caine Mutiny,1954,Nominee
Ian McKellen,Gods And Monsters,1998,Nominee
Ian McKellen,The Lord Of The Rings: The Fellowship Of The Ring,2001,Nominee
Ingrid Bergman,Anastasia,1956,Winner
Ingrid Bergman,Autumn Sonata,1978,Nominee
Ingrid Bergman,For Whom The Bell Tolls,1943,Nominee
Ingrid Bergman,Gaslight,1944,Winner
Ingrid Bergman,Joan Of Arc,1948,Nominee
Ingrid Bergman,Murder On The Orient Express,1974,Winner
Ingrid Bergman,The Bells Of St. Mary'S,1945,Nominee
Irene Dunne,Cimarron,1931,Nominee
Irene Dunne,I Remember Mama,1948,Nominee
Irene Dunne,Love Affair,1939,Nominee
Irene Dunne,The Awful Truth,1937,Nominee
Irene Dunne,Theodora Goes Wild,1936,Nominee
