nconst,primaryName,birthYear,deathYear,primaryName_clean
nm0001049,Jill Clayburgh,1944,2010,jill clayburgh
nm0000980,Jim Broadbent,1949,,jim broadbent
nm0000120,Jim Carrey,1962,,jim carrey
nm1835544,Jimmy Vee,1959,,jimmy vee
nm0886888,Jo Van Fleet,1915,1996,jo van fleet
nm0000260,Joan Allen,1956,,joan allen
nm0000951,Joan Blondell,1906,1979,joan blondell
nm0001076,Joan Crawford,1904,1977,joan crawford
nm0000349,Joan Cusack,1962,,joan cusack
nm0000021,Joan Fontaine,1917,2013,joan fontaine
nm0352466,Joan Hackett,1934,1983,joan hackett
nm0521156,Joan Lorring,1926,2014,joan lorring
nm0687506,Joan Plowright,1929,,joan plowright
nm0940946,Joanne Woodward,1930,,joanne woodward
nm0001618,Joaquin Phoenix,1974,,joaquin phoenix
nm0481139,Jocelyne LaGarde,1924,1979,jocelyne lagarde
nm0000149,Jodie Foster,1962,,jodie foster
nm0544064,Joe Mantell,1915,2010,joe mantell
nm0000582,Joe Pesci,1943,,joe pesci
nm0249291,Joel Edgerton,1974,,joel edgerton
nm0001297,Joel Grey,1932,,joel grey
nm1172478,Joel Kinnaman,1979,,joel kinnaman
nm3915784,John Boyega,1992,,john boyega
nm0000604,John C. Reilly,1965,,john c. reilly
nm0001006,John Candy,1950,1994,john candy
nm0001023,John Cassavetes,1929,1989,john cassavetes
nm1078479,John Cena,1977,,john cena
nm0158626,John Cho,1972,,john cho
nm0000131,John Cusack,1966,,john cusack
nm0197982,John Dall,1920,1971,john dall
nm0002092,John Garfield,1913,1952,john garfield
nm0000024,John Gielgud,1904,2000,john gielgud
nm0000422,John Goodman,1952,,john goodman
nm0370036,John Hawkes,1925,1998,john hawkes
nm0002144,John Houseman,1902,1988,john houseman
nm0000457,John Hurt,1940,2017,john hurt
nm0001379,John Huston,1906,1987,john huston
nm0409871,John Ireland,1879,1962,john ireland
nm0434712,John Kani,1942,,john kani
nm0000491,John Leguizamo,1964,,john leguizamo
nm0001475,John Lithgow,1945,,john lithgow
nm0000518,John Malkovich,1953,,john malkovich
nm0549134,John Marley,1907,1984,john marley
nm0590062,John Mills,1889,1967,john mills
nm1056659,John Oliver,1977,,john oliver
nm0805476,John Slattery,1962,,john slattery
nm0000237,John Travolta,1954,,john travolta
nm0000078,John Wayne,1907,1979,john wayne
nm0000136,Johnny Depp,1963,,johnny depp
nm0269463,Jon Favreau,1966,,jon favreau
nm0358316,Jon Hamm,1971,,jon hamm
nm0000685,Jon Voight,1938,,jon voight
nm1706767,Jonah Hill,1983,,jonah hill
nm0000596,Jonathan Pryce,1947,,jonathan pryce
nm0001795,Jonathan Taylor Thomas,1981,,jonathan taylor thomas
nm6934058,Joonas Suotamo,1986,,joonas suotamo
nm1443502,Jordan Peele,1979,,jordan peele
nm0108287,Jordana Brewster,1980,,jordana brewster
nm0306201,Jorge Garcia,1973,,jorge garcia
nm0001207,José Ferrer,1912,1992,jose ferrer
nm0330687,Joseph Gordon-Levitt,1981,,joseph gordon levitt
nm0771584,Joseph Schildkraut,1896,1964,joseph schildkraut
nm0401449,Josephine Hull,1877,1957,josephine hull
nm0000982,Josh Brolin,1968,,josh brolin
nm1265802,Josh Gad,1981,,josh gad
nm0001326,Josh Hartnett,1978,,josh hartnett
nm1242688,Josh Hutcherson,1992,,josh hutcherson
nm0715010,Joyce Redman,1915,2012,joyce redman
nm0601428,Juanita Moore,1914,2014,juanita moore
nm0002139,Judd Hirsch,1935,,judd hirsch
nm0000179,Jude Law,1972,,jude law
nm0001132,Judi Dench,1934,,judi dench
nm0000752,Judith Anderson,1897,1992,judith anderson
nm0001114,Judy Davis,1955,,judy davis
nm0000023,Judy Garland,1922,1969,judy garland
nm0391062,Judy Holliday,1921,1965,judy holliday
nm0000506,Julia Louis-Dreyfus,1961,,julia louis dreyfus
nm0000210,Julia Roberts,1967,,julia roberts
nm0000194,Julianne Moore,1960,,julianne moore
nm0000267,Julie Andrews,1935,,julie andrews
nm0001046,Julie Christie,1940,,julie christie
nm0364916,Julie Harris,1921,2015,julie harris
nm0910278,Julie Walters,1950,,julie walters
nm0000300,Juliette Binoche,1964,,juliette binoche
nm0000496,Juliette Lewis,1973,,juliette lewis
nm0820053,June Squibb,1929,,june squibb
nm0377888,Justin Henry,1971,,justin henry
nm0519044,Justin Long,1970,,justin long
nm0192505,Kaley Cuoco,1985,,kaley cuoco
nm0352032,Kamal Haasan,1954,,kamal haasan
nm0424103,Karan Johar,1972,,karan johar
nm0000261,Karen Allen,1951,,karen allen
nm0000947,Karen Black,1939,2013,karen black
nm2394794,Karen Gillan,1987,,karen gillan
nm0001500,Karl Malden,1912,2009,karl malden
nm0881631,Karl Urban,1972,,karl urban
nm0000295,Kate Beckinsale,1973,,kate beckinsale
nm0005028,Kate Hudson,1979,,kate hudson
nm0625075,Kate Nelligan,1950,,kate nelligan
nm0000701,Kate Winslet,1975,,kate winslet
nm0000031,Katharine Hepburn,1907,2003,katharine hepburn
nm0001684,Katharine Ross,1940,,katharine ross
nm0001337,Katherine Heigl,1978,,katherine heigl
nm2239702,Katherine Waterston,1980,,katherine waterston
nm0000599,Kathleen Quinlan,1954,,kathleen quinlan
nm0000678,Kathleen Turner,1954,,kathleen turner
nm0000870,Kathy Bates,1948,,kathy bates
nm0668093,Katina Paxinou,1900,1973,katina paxinou
nm0432827,Katy Jurado,1924,2002,katy jurado
nm0575552,Kay Medford,1919,1980,kay medford
nm0000206,Keanu Reeves,1964,,keanu reeves
nm1221047,Keegan-Michael Key,1971,,keegan michael key
nm0461136,Keira Knightley,1985,,keira knightley
nm1095720,Keisha Castle-Hughes,1990,,keisha castle hughes
nm4511652,Kelly Marie Tran,1989,,kelly marie tran
nm0727961,Kelly Ripa,1970,,kelly ripa
nm0001288,Kelsey Grammer,1955,,kelsey grammer
nm0913822,Ken Watanabe,1959,,ken watanabe
nm0000110,Kenneth Branagh,1960,,kenneth branagh
nm0005392,Keri Russell,1976,,keri russell
nm0000102,Kevin Bacon,1958,,kevin bacon
nm0000126,Kevin Costner,1955,,kevin costner
nm0366389,Kevin Hart,1979,,kevin hart
nm0416671,Kevin James,1954,1990,kevin james
nm0000177,Kevin Kline,1947,,kevin kline
nm0002994,Kevin McCarthy,1914,2010,kevin mccarthy
nm0000228,Kevin Spacey,1959,,kevin spacey
nm0000662,Kiefer Sutherland,1966,,kiefer sutherland
nm1009390,Kiera Chaplin,1982,,kiera chaplin
nm0000107,Kim Basinger,1953,,kim basinger
nm0000326,Kim Cattrall,1956,,kim cattrall
nm0001375,Kim Hunter,1922,2002,kim hunter
nm0822535,Kim Stanley,1925,2001,kim stanley
nm0000018,Kirk Douglas,1916,2020,kirk douglas
nm0000379,Kirsten Dunst,1982,,kirsten dunst
nm0001970,Klaus Maria Brandauer,1943,,klaus maria brandauer
nm0068338,Kristen Bell,1980,,kristen bell
nm0829576,Kristen Stewart,1990,,kristen stewart
nm1325419,Kristen Wiig,1973,,kristen wiig
nm0004862,Kristin Davis,1965,,kristin davis
nm0000218,Kristin Scott Thomas,1960,,kristin scott thomas
nm1269983,Krysten Ritter,1981,,krysten ritter
nm0000621,Kurt Russell,1951,,kurt russell
nm3078932,Lady Gaga,1986,,lady gaga
nm1128572,Lake Bell,1979,,lake bell
nm3147751,LaKeith Stanfield,1991,,lakeith stanfield
nm0001805,Lana Turner,1921,1995,lana turner
nm0662972,Larry Parks,1914,1975,larry parks
nm2736476,Lashana Lynch,1987,,lashana lynch
nm0000368,Laura Dern,1967,,laura dern
nm0001473,Laura Linney,1964,,laura linney
nm0000002,Lauren Bacall,1924,2014,lauren bacall
nm0000401,Laurence Fishburne,1961,,laurence fishburne
nm0002131,Laurence Harvey,1928,1973,laurence harvey
nm0000059,Laurence Olivier,1907,1989,laurence olivier
nm0582418,Laurie Metcalf,1955,,laurie metcalf
nm0862546,Lawrence Tibbett,1896,1960,lawrence tibbett
nm2244205,Léa Seydoux,1985,,lea seydoux
nm0335519,Lee Grant,1925,,lee grant
nm0002011,Lee J. Cobb,1911,1976,lee j. cobb
nm0001511,Lee Marvin,1924,1987,lee marvin
nm1195855,Lee Pace,1979,,lee pace
nm0001665,Lee Remick,1935,1991,lee remick
nm0833448,Lee Strasberg,1901,1982,lee strasberg
nm0870543,Lee Tracy,1898,1968,lee tracy
nm0000565,Lena Olin,1955,,lena olin
nm0312890,Leo Genn,1905,1978,leo genn
nm0294600,Leonard Frey,1938,1988,leonard frey
nm0000138,Leonardo DiCaprio,1974,,leonardo dicaprio
nm0000690,Lesley Ann Warren,1946,,lesley ann warren
nm0544334,Lesley Manville,1956,,lesley manville
nm0115038,Leslie Browne,1957,,leslie browne
nm0001989,Leslie Caron,1931,,leslie caron
nm0001366,Leslie Howard,1893,1943,leslie howard
nm0005182,Leslie Mann,1972,,leslie mann
nm1502434,Leslie Odom Jr.,1981,,leslie odom jr.
nm4004793,Letitia Wright,1993,,letitia wright
nm0000817,Lew Ayres,1908,1996,lew ayres
nm0085400,Lewis Black,1948,,lewis black
nm0832011,Lewis Stone,1879,1953,lewis stone
nm0000553,Liam Neeson,1952,,liam neeson
nm0444321,Lila Kedrova,1918,2000,lila kedrova
nm0803785,Lilia Skala,1896,1994,lilia skala
nm0001273,Lillian Gish,1893,1993,lillian gish
nm4141252,Lily James,1989,,lily james
nm0005499,Lily Tomlin,1939,,lily tomlin
nm0000304,Linda Blair,1959,,linda blair
nm0004802,Linda Cardellini,1975,,linda cardellini
nm0000157,Linda Hamilton,1956,,linda hamilton
nm0001373,Linda Hunt,1945,,linda hunt
nm0001080,Lindsay Crouse,1948,,lindsay crouse
nm0000859,Lionel Barrymore,1878,1954,lionel barrymore
nm0001435,Lisa Kudrow,1963,,lisa kudrow
nm0880521,Liv Ullmann,1938,,liv ullmann
nm0591485,Liza Minnelli,1946,,liza minnelli
nm0949835,Loretta Young,1913,2000,loretta young
nm0000966,Lorraine Bracco,1954,,lorraine bracco
nm0502322,Lotte Lenya,1898,1981,lotte lenya
nm0129894,Louis Calhern,1895,1956,louis calhern
nm0001283,Louis Gossett Jr.,1936,,louis gossett jr.
nm0237571,Louise Dresser,1878,1965,louise dresser
nm0001221,Louise Fletcher,1934,,louise fletcher
nm2348627,Lucas Hedges,1996,,lucas hedges
nm0914778,Lucile Watson,1879,1962,lucile watson
nm0707023,Luise Rainer,1910,2014,luise rainer
nm1812656,Luke Evans,1979,,luke evans
nm2143282,Lupita Nyong'o,1983,,lupita nyong'o
nm0137524,Lynn Carlin,1938,,lynn carlin
nm0285007,Lynn Fontanne,1887,1983,lynn fontanne
nm0001655,Lynn Redgrave,1943,2010,lynn redgrave
nm0000346,Macaulay Culkin,1980,,macaulay culkin
nm0001404,Madeline Kahn,1942,1999,madeline kahn
nm0586568,Mads Mikkelsen,1965,,mads mikkelsen
nm0350454,Maggie Gyllenhaal,1977,,maggie gyllenhaal
nm0573704,Maggie McNamara,1928,1978,maggie mcnamara
nm0001749,Maggie Smith,1934,,maggie smith
nm0991810,Mahershala Ali,1974,,mahershala ali
nm0538683,Mako,1933,2006,mako
nm0000052,Marcello Mastroianni,1924,1996,marcello mastroianni
nm0001315,Marcia Gay Harden,1959,,marcia gay harden
nm0001858,Mare Winningham,1959,,mare winningham
nm0001923,Margaret Avery,1944,,margaret avery
nm0500364,Margaret Leighton,1922,1976,margaret leighton
