tconst,primaryTitle,startYear,genres
tt0020935,La grande mare,1930,"Comedy,Romance"
tt0020938,The Green Goddess,1930,Adventure
tt0020942,Grumpy,1930,"Comedy,Romance"
tt0020949,Happy Days,1929,Musical
tt0020966,Her Man,1930,"Crime,Drama,Romance"
tt0020973,High Society Blues,1930,"Music,Romance"
tt0020977,Hit the Deck,1929,"Comedy,Musical,Romance"
tt0020982,Hocuspocus,1930,"Comedy,Crime"
tt0020985,Holiday,1930,"Comedy,Drama"
tt0020986,Honey,1930,"Comedy,Musical"
tt0020991,The Hunted Men,1930,Western
tt0021001,Inside the Lines,1930,"Drama,War"
tt0021003,Isle of Escape,1930,Drama
tt0021015,Juno and the Paycock,1929,"Comedy,Drama"
tt0021029,Kismet,1930,"Adventure,Fantasy,Musical"
tt0021037,Ladies Love Brutes,1930,"Comedy,Drama"
tt0021040,Ladies of Leisure,1930,"Drama,Romance"
tt0021041,A Lady Surrenders,1930,"Drama,Romance"
tt0021042,The Lady of Scandal,1930,"Comedy,Drama,Romance"
tt0021045,A Lady's Morals,1930,"Drama,Musical"
tt0021048,The Lash,1930,Western
tt0021053,Laughter,1930,"Comedy,Romance"
tt0021057,Leathernecking,1930,"Comedy,Musical,Romance"
tt0021060,Let Us Be Gay,1930,"Comedy,Drama"
tt0021061,Let's Go Native,1930,"Comedy,Musical,Romance"
tt0021067,Liebling der Götter,1930,Comedy
tt0021071,Lightnin',1930,"Adventure,Comedy,Romance"
tt0021073,Lilies of the Field,1930,"Drama,Romance"
tt0021087,Loose Ankles,1930,"Comedy,Romance"
tt0021100,Love in the Rough,1930,"Comedy,Musical,Romance"
tt0021102,Lovin' the Ladies,1930,"Comedy,Romance"
tt0021106,Madam Satan,1930,"Comedy,Drama,Musical"
tt0021107,Madame Guillotine,1931,"History,Romance"
tt0021110,Mammy,1930,Comedy
tt0021112,A Man from Wyoming,1930,"Action,Drama,Romance"
tt0021115,The Man from Blankley's,1930,Comedy
tt0021121,Manslaughter,1930,"Drama,Romance"
tt0021132,The Matrimonial Bed,1930,Comedy
tt0021144,Midnight Mystery,1930,Mystery
tt0021147,The Mighty,1929,"Action,Drama"
tt0021148,Min and Bill,1930,"Comedy,Drama"
tt0021152,Montana Moon,1930,Western
tt0021156,Morocco,1930,"Drama,Romance"
tt0021178,New Moon,1930,"Drama,Musical,Romance"
tt0021183,The Night Ride,1930,"Crime,Drama"
tt0021191,A Notorious Affair,1930,"Drama,Romance"
tt0021197,The Office Wife,1930,"Drama,Romance"
tt0021203,Old English,1930,Drama
tt0021209,On the Level,1930,"Action,Comedy,Crime"
tt0021217,One Romantic Night,1930,"Comedy,Romance"
tt0021218,Only Saps Work,1930,"Comedy,Crime,Romance"
tt0021219,Only the Brave,1930,"Drama,Romance,War"
tt0021223,Our Blushing Brides,1930,"Drama,Music,Romance"
tt0021225,Outward Bound,1930,"Drama,Fantasy"
tt0021228,Paid,1930,"Crime,Drama,Romance"
tt0021232,Paramount on Parade,1930,"Comedy,Music"
tt0021235,Mon gosse de père,1930,Drama
tt0021240,Passion Flower,1930,Drama
tt0021261,Playboy of Paris,1930,"Comedy,Musical,Romance"
tt0021263,Playing Around,1930,"Comedy,Drama,Music"
tt0021276,Puttin' on the Ritz,1930,"Music,Romance"
tt0021279,Queen High,1930,"Comedy,Musical"
tt0021281,Raffles,1930,"Adventure,Crime,Drama"
tt0021295,Renegades,1930,"Action,Adventure,Romance"
tt0021297,The Return of Dr. Fu Manchu,1930,"Adventure,Mystery,Romance"
tt0021301,The Right to Love,1930,Drama
tt0021303,River's End,1930,Western
