tconst,nconst
tt0022559,nm0580916
tt0022574,nm0510134
tt0022576,nm0572142
tt0022578,nm0510134
tt0022582,nm0000859
tt0022582,nm0000059
tt0022589,nm0228715
tt0022589,nm0178114
tt0022597,nm0393028
tt0022609,nm0350324
tt0022612,nm0129894
tt0022613,nm0401449
tt0022615,nm0000897
tt0022615,nm0001784
tt0022619,nm0001932
tt0022620,nm0001784
tt0022620,nm0322299
tt0022622,nm0000897
tt0022625,nm0062828
tt0022626,nm0404158
tt0022628,nm0362267
tt0022628,nm0001366
tt0022628,nm0307326
tt0022639,nm0000859
tt0022641,nm0001256
tt0022641,nm0002048
tt0022641,nm0002233
tt0022649,nm0579663
tt0022651,nm0002050
tt0022658,nm0350324
tt0022660,nm0404158
tt0022675,nm0260020
tt0022675,nm0001078
tt0022675,nm0122675
tt0022676,nm0000951
tt0022681,nm0000078
tt0022685,nm0000031
tt0022685,nm0000992
tt0022693,nm0579663
tt0022696,nm0870543
tt0022698,nm0000017
tt0022698,nm0000026
tt0022700,nm0599910
tt0022701,nm0771584
tt0022705,nm0002503
tt0022721,nm0606431
tt0022725,nm0000859
tt0022725,nm0007216
tt0022726,nm0002048
tt0022731,nm0599910
tt0022735,nm0001932
tt0022735,nm0000012
tt0022748,nm0001677
tt0022751,nm0000951
tt0022769,nm0606431
tt0022775,nm0154183
tt0022775,nm0129894
tt0022778,nm0228715
tt0022778,nm0362267
tt0022778,nm0646829
tt0022784,nm0154183
tt0022788,nm0322299
tt0022789,nm0619798
tt0022792,nm0000010
tt0022792,nm0000951
tt0022796,nm0172903
tt0022797,nm0733460
tt0022798,nm0007223
tt0022799,nm0394244
tt0022799,nm0642988
tt0022802,nm0000012
tt0022812,nm0002503
tt0022814,nm0000011
tt0022814,nm0001452
tt0022814,nm0000026
tt0022815,nm0322299
tt0022816,nm0572142
tt0022822,nm0000075
tt0022824,nm0178114
tt0022824,nm0832011
tt0022827,nm0870543
tt0022834,nm0510134
tt0022835,nm0545298
tt0022835,nm0394244
tt0022845,nm0001120
tt0022854,nm0237597
tt0022869,nm0000964
tt0022870,nm0557339
tt0022873,nm0599910
tt0022876,nm0000951
tt0022879,nm0000011
tt0022879,nm0579663
tt0022881,nm0322299
tt0022892,nm0310980
tt0022897,nm0000891
tt0022905,nm0001766
tt0022905,nm0579663
tt0022905,nm0000897
tt0022918,nm0307326
tt0022928,nm0572142
tt0022958,nm0001256
tt0022958,nm0001076
tt0022958,nm0000891
tt0022961,nm0000951
tt0022967,nm0572142
tt0022968,nm0173993
tt0022971,nm0870543
tt0022971,nm0604656
tt0022974,nm0007223
tt0022978,nm0001677
tt0022979,nm0949835
tt0022981,nm0000078
tt0022987,nm0000022
tt0022987,nm0000891
tt0022990,nm0228715
tt0022991,nm0000012
tt0023007,nm0001635
tt0023013,nm0646829
tt0023028,nm0000026
tt0023028,nm0007216
tt0023034,nm0580916
tt0023038,nm0000078
tt0023042,nm0612847
tt0023049,nm0000011
tt0023049,nm0001452
tt0023055,nm0000817
tt0023055,nm0580916
tt0023062,nm0000024
tt0023074,nm0001635
tt0023101,nm0404158
tt0023108,nm0646829
tt0023109,nm0051628
tt0023109,nm0322299
tt0023109,nm0000078
tt0023116,nm0001948
tt0023119,nm0002503
tt0023121,nm0404158
tt0023121,nm0002503
tt0023125,nm0001635
tt0023125,nm0000951
tt0023132,nm0001076
tt0023132,nm0599910
tt0023132,nm0832011
tt0023139,nm0949835
tt0023139,nm0533956
